"fieldid","code_value","code_descr"
"ACT_TAK1","","ACTIONS TAKEN 1"
"ACT_TAK1","00","Action taken, other"
"ACT_TAK1","1","Fire"
"ACT_TAK1","10","Fire, other"
"ACT_TAK1","11","Extinguish"
"ACT_TAK1","12","Salvage & overhaul"
"ACT_TAK1","13","Establish fire lines (wildfire)"
"ACT_TAK1","14","Contain fire (wildland)"
"ACT_TAK1","15","Confine fire (wildland)"
"ACT_TAK1","16","Control fire (wildland)"
"ACT_TAK1","17","Manage prescibed fire (wildland)"
"ACT_TAK1","2","Search & Rescue"
"ACT_TAK1","20","Search & rescue, other"
"ACT_TAK1","21","Search"
"ACT_TAK1","22","Rescue, remove from harm"
"ACT_TAK1","23","Extricate, disentangle"
"ACT_TAK1","24","Recover body"
"ACT_TAK1","3","EMS & Transport"
"ACT_TAK1","30","Emergency medical services, other"
"ACT_TAK1","31","Provide first aid & check for injuries"
"ACT_TAK1","32","Provide basic life support (BLS)"
"ACT_TAK1","33","Provide advanced life support (ALS)"
"ACT_TAK1","34","Transport person"
"ACT_TAK1","4","Hazardous Condition"
"ACT_TAK1","40","Hazardous condition, other"
"ACT_TAK1","41","Identify, analyze hazardous materials"
"ACT_TAK1","42","Hazmat detection, monitoring, sampling, & analysis"
"ACT_TAK1","43","Hazardous materials spill control and confinement"
"ACT_TAK1","44","Hazardous materials leak control & containment"
"ACT_TAK1","45","Remove hazard"
"ACT_TAK1","46","Decontaminate persons or equipment"
"ACT_TAK1","47","Decontaminate occupancy or area"
"ACT_TAK1","48","Remove hazardous materials"
"ACT_TAK1","5","Fires, Rescues & Hazardous Conditions"
"ACT_TAK1","50","Fires, rescues & hazardous conditions, other"
"ACT_TAK1","51","Ventilate"
"ACT_TAK1","52","Forcible entry"
"ACT_TAK1","53","Evacuate area"
"ACT_TAK1","54","Determine if materials are non-hazardous"
"ACT_TAK1","55","Establish safe area"
"ACT_TAK1","56","Provide air supply"
"ACT_TAK1","57","Provide light or electrical power"
"ACT_TAK1","58","Operate apparatus or vehicle"
"ACT_TAK1","6","Systems & Services"
"ACT_TAK1","60","Systems and services, other"
"ACT_TAK1","61","Restore municipal services"
"ACT_TAK1","62","Restore sprinkler or fire protection system"
"ACT_TAK1","63","Restore fire alarm system"
"ACT_TAK1","64","Shut down system"
"ACT_TAK1","65","Secure property"
"ACT_TAK1","66","Remove water"
"ACT_TAK1","7","Assistance"
"ACT_TAK1","70","Assistance, other"
"ACT_TAK1","71","Assist physically disabled"
"ACT_TAK1","72","Assist animal"
"ACT_TAK1","73","Provide manpower"
"ACT_TAK1","74","Provide apparatus"
"ACT_TAK1","75","Provide equipment"
"ACT_TAK1","76","Provide water"
"ACT_TAK1","77","Control crowd"
"ACT_TAK1","78","Control traffic"
"ACT_TAK1","79","Assess severe weather or natural disaster damage"
"ACT_TAK1","8","Information, Investigation & Enforcement"
"ACT_TAK1","80","Information, investigation & enforcement, other"
"ACT_TAK1","81","Incident command"
"ACT_TAK1","82","Notify other agencies."
"ACT_TAK1","83","Provide information to public or media"
"ACT_TAK1","84","Refer to proper authority"
"ACT_TAK1","85","Enforce code"
"ACT_TAK1","86","Investigate"
"ACT_TAK1","87","Investigate fire out on arrival"
"ACT_TAK1","9","Fill-in, Standby"
"ACT_TAK1","90","Fill-in, standby, other"
"ACT_TAK1","91","Fill-in or moveup"
"ACT_TAK1","92","Standby"
"ACT_TAK1","93","Cancelled enroute"
"ACT_TAK1","UU","Undetermined (conversion only)"
"ACT_TAK1",NULL,"ACTIONS TAKEN 1"
